cite_key,citation_as_in_manuscript,doi,pmid_or_pmcid,url,status,note
nasem2020,"National Academies of Sciences, Engineering, and Medicine. Respiratory Health Effects of Airborne Hazards Exposures in the Southwest Asia Theater of Military Operations. National Academies Press; 2020.",,,,NO_DOI,NASEM 2020 Airborne Hazards SW Asia; NAP DOI likely 10.17226/25837 - confirm.
pact2022,Sergeant First Class Heath Robinson Honoring our PACT Act of 2022 (PL 117-168).,,,,NO_DOI,"PACT Act 2022 (PL 117-168); statute, no DOI."
haley2013,"Haley RW, Tuite JJ. Epidemiologic evidence of health effects from long-distance transit of chemical-agent fallout from the 1991 Gulf War. Neuroepidemiology. 2013;40(3):178--189.",,,,NEEDS_LOOKUP,Neuroepidemiology 2013;40(3):178-189; confirm DOI.
gao2004,U.S. Government Accountability Office. Gulf War Illnesses: Preliminary Assessment of DOD Plume Modeling. GAO-04-159; 2004.,,,,NO_DOI,"GAO-04-159; agency report, use URL."
akhtar2004,"Akhtar FZ, Garabrant DH, Ketchum NS, Michalek JE. Cancer in US Air Force veterans of the Vietnam War. J Occup Environ Med. 2004;46(2):123--136.",10.1097/01.jom.0000111603.84316.0f,14767215,,UNVERIFIED,
steenland1999,"Steenland K, Piacitelli L, Deddens J, et al. Cancer, heart disease, and diabetes in workers exposed to TCDD. J Natl Cancer Inst. 1999;91(9):779--786.",10.1093/jnci/91.9.779,10328108,,UNVERIFIED,
iomvao,"Institute of Medicine. Veterans and Agent Orange, Update series. National Academies Press; 1993--2018.",,,,FLAG_AUTHOR,"IOM Veterans and Agent Orange update SERIES (1993-2018); cite a specific update volume, not the series."
pesatori2009,"Pesatori AC, Consonni D, Rubagotti M, et al. Cancer incidence in the population exposed to dioxin after the Seveso accident. Environ Health. 2009;8:39.",10.1186/1476-069X-8-39,19754930,,UNVERIFIED,
sambhavna,"Sambhavna Trust Clinic. Community Health Survey, Bhopal Gas Tragedy Survivors. Reports 2021--2026.",,,,NO_DOI,"Sambhavna Trust community survey; grey literature, hypothesis-generating."
mishra2009,"Mishra PK, Samarth RM, Pathak N, et al. Bhopal gas tragedy: review of clinical and experimental findings after 25 years. Int J Occup Med Environ Health. 2009;22(3):193--202.",10.2478/v10001-009-0028-1,19819836,,UNVERIFIED,
senthilkumar2012,"Senthilkumar CS, Sah NK, Ganesh N. Methyl isocyanate-affected population and cancer susceptibility. Asian Pac J Cancer Prev. 2012;13(11):5645--5647.",10.7314/APJCP.2012.13.11.5645,23317230,,UNVERIFIED,
dhara2002,"Dhara VR, Dhara R. The Union Carbide disaster in Bhopal: a review of health effects. Arch Environ Health. 2002;57(5):391--404.",10.1080/00039890209601427,12641179,,UNVERIFIED,
busby2010,"Busby C, Hamdan M, Ariabi E. Cancer, infant mortality and birth sex-ratio in Fallujah, Iraq 2005--2009. Int J Environ Res Public Health. 2010;7(7):2828--2837.",10.3390/ijerph7072828,20717542,,UNVERIFIED,
alaani2011,"Alaani S, Tafash M, Busby C, et al. Uranium and other contaminants in hair from parents of children with congenital anomalies in Fallujah. Confl Health. 2011;5:15.",10.1186/1752-1505-5-15,21888647,,UNVERIFIED,
alawadhi2023,"Alawadhi E, et al. Progress against cancer in Kuwait: trends in incidence, survival and mortality. Gulf J Oncol. 2023.",,,,NEEDS_LOOKUP,Gulf J Oncol 2023; confirm vol/pages/DOI.
cange2013,"Cange CW. A Post-Conflict Assessment of Breast Cancer in Kuwait Using Mixed Methods. PhD thesis, University of Washington; 2013.",,,,NO_DOI,"PhD thesis, Univ. of Washington 2013; use repository URL."
alhajj2021,"Al-Hajj S, Dhaini HR, Mondello S, et al. Beirut ammonium nitrate blast: analysis, review, and recommendations. Front Public Health. 2021;9:657996.",10.3389/fpubh.2021.657996,34055717,,UNVERIFIED,
beirutpm2023,Long-term effect of the Beirut port explosion on airborne particulate matter. Aerosol Air Qual Res. 2023;23:220395.,,,,FLAG_AUTHOR,Aerosol Air Qual Res 2023;23:220395; author/title incomplete in notes - confirm.
robinson2025,"Robinson AL, DeCarlo PF, Nachman KE, et al. Total cancer risk estimates from measured concentrations of volatile organic compounds in industrialized southeastern Louisiana. Proc Natl Acad Sci USA. 2025.",,,,NEEDS_LOOKUP,PNAS 2025; confirm vol/article no/DOI.
terrell2024,"Terrell KA, James W. Air pollution and cancer risk in Louisiana's industrial corridor. Tulane Environmental Law Clinic; 2024.",,,,NO_DOI,"Tulane Environmental Law Clinic 2024; report, use URL."
kweon,"Kweon S, et al. Uneven magnitude of disparities in cancer risks from air toxics. Int J Environ Res Public Health.",,,,FLAG_AUTHOR,IJERPH; year/vol/pages missing in notes - confirm full citation.
duffy2005,"Duffy SW, Agbaje O, Tabar L, et al. Estimates of overdiagnosis from two trials of mammographic screening. Breast Cancer Res. 2005;7(6):258--265.",10.1186/bcr1354,16280124,,UNVERIFIED,
gotzsche2009,"Gotzsche PC, Jorgensen KJ, Mahlen J, Zahl P-H. Estimation of lead time and overdiagnosis in breast-cancer screening. Br J Cancer. 2009;100(1):219.",,,,NEEDS_LOOKUP,Br J Cancer 2009;100(1):219; confirm DOI (diacritics fixed in bib).
paci2006,"Paci E, et al. Overdiagnosis of breast cancer due to mammography after adjustment for lead time (Florence). 2006.",,,,FLAG_AUTHOR,Florence overdiagnosis 2006; incomplete citation in notes - confirm venue/DOI.
concord3,"Allemani C, Matsuda T, Di Carlo V, et al. Global surveillance of trends in cancer survival 2000--14 (CONCORD-3). Lancet. 2018;391(10125):1023--1075.",10.1016/S0140-6736(17)33326-3,29395269,,UNVERIFIED,
ksasurv2022,"Population-based survival for cancer patients in Saudi Arabia, 2005--2009. Sci Rep. 2022;12:330.",,,,NEEDS_LOOKUP,Sci Rep 2022;12:330; confirm DOI 10.1038/s41598-...-.
ksaregional2024,"Regional disparities and socioeconomic determinants of cancer survival in Saudi Arabia (26,487 patients, 2010--2024). 2024.",,,,NEEDS_LOOKUP,"Regional survival KSA 26,487 pts 2010-2024; confirm full citation/DOI."
ksacrc,"First national survival data for colorectal cancer among Saudis, 1994--2004.",,,,FLAG_AUTHOR,First national CRC survival 1994-2004; incomplete citation - confirm.
tlv2017,"Tomasetti C, Li L, Vogelstein B. Stem-cell divisions, somatic mutations, cancer etiology, and cancer prevention. Science. 2017;355(6331):1330--1334.",10.1126/science.aaf9011,28336671,,UNVERIFIED,
wu2016,"Wu S, Powers S, Zhu W, Hannun YA. Substantial contribution of extrinsic risk factors to cancer development. Nature. 2016;529(7584):43--47.",10.1038/nature16166,26675728,,UNVERIFIED,
alidrissi1987,"Al-Idrissi HY, Ibrahim EM, Ahmed T, et al. Cancer at Dhahran Health Center, Saudi Arabia (1981--1985). Ann Saudi Med. 1987;7(4):288--294.",,,,NEEDS_LOOKUP,Ann Saudi Med 1987;7(4):288-294; confirm DOI (may be none).
altamimi1996,"Al Tamimi T, Al-Bar A, Al-Suhaimi S, et al. Lung cancer in the Eastern Region of Saudi Arabia. Ann Saudi Med. 1996;16(1):3--11.",,,,NEEDS_LOOKUP,Ann Saudi Med 1996;16(1):3-11; confirm DOI (may be none).
scr2020,"Saudi Ministry of Health, Saudi Cancer Registry. Cancer Incidence Report 2020. National Cancer Center; 2023.",,,,NO_DOI,"Saudi Cancer Registry Incidence Report 2020; agency report, use URL."
scrlung2025,"AlOmar RS, et al. Epidemiology of lung cancer in Saudi Arabia, Saudi Cancer Registry, 2015--2020. J Epidemiol Glob Health. 2025. doi:10.1007/s44197-025-00491-x.",10.1007/s44197-025-00491-x,PMC12678664,https://doi.org/10.1007/s44197-025-00491-x,VERIFIED,"Crude (not ASIR) Eastern Province 3.36 vs Jazan 0.59 per 100,000."
basudan2023,"Basudan AM, et al. Comprehensive retrospective analysis of colorectal cancer incidence patterns in Saudi Arabia. Life (Basel). 2023;13(11):2198.",10.3390/life13112198,38004338,,UNVERIFIED,
alahmadi2013,"Al-Ahmadi K, Al-Zahrani A. Spatial autocorrelation of cancer incidence in Saudi Arabia. Int J Environ Res Public Health. 2013;10(12):7207--7228.",10.3390/ijerph10127207,24351742,,UNVERIFIED,
madinah2024,Epidemiological and clinical characteristics of lung cancer in Saudi Arabia (Madinah single-centre). 2024.,,,,FLAG_AUTHOR,Madinah single-centre lung cancer 2024; incomplete citation - confirm.
gats2019,World Health Organization. Global Adult Tobacco Survey: Saudi Arabia. 2019.,,,,NO_DOI,"WHO Global Adult Tobacco Survey Saudi Arabia 2019; report, use URL."
arksey2005,"Arksey H, O'Malley L. Scoping studies: towards a methodological framework. Int J Soc Res Methodol. 2005;8(1):19--32.",10.1080/1364557032000119616,,,UNVERIFIED,
levac2010,"Levac D, Colquhoun H, O'Brien KK. Scoping studies: advancing the methodology. Implement Sci. 2010;5:69.",10.1186/1748-5908-5-69,20854677,,UNVERIFIED,
tricco2018,"Tricco AC, Lillie E, Zarin W, et al. PRISMA Extension for Scoping Reviews (PRISMA-ScR): checklist and explanation. Ann Intern Med. 2018;169(7):467--473.",10.7326/M18-0850,30178033,,UNVERIFIED,
