dataset_id,source_cluster,linked_cite_keys,data_type,granularity,custodian,access_route,access_locator,locator_confidence,in_package_currently,notes
beirut,Beirut port ammonium-nitrate blast,alhajj2021;beirutpm2023,Air-quality / PM measurements; review syntheses,measurements + document,Original authors / journals,OPEN,the cited journal articles + their supplements,medium,PAH risk; no incidence yet,Immature latency; only measurement/review data exist so far.
cancer_alley,Louisiana 'Cancer Alley' petrochemical corridor,robinson2025;terrell2024;kweon,Measured VOC concentrations; modeled air-toxics cancer-risk surfaces,measurements + modeled,"U.S. EPA (AirToxScreen/NATA, ECHO, EJScreen); study authors",OPEN,epa.gov AirToxScreen + ECHO + EJScreen (OPEN); Robinson 2025 PNAS supplement,medium,risk up to 11x models (contextual),EPA air-toxics surfaces are openly downloadable; measured-VOC data in the PNAS supplement.
saudi_scr,Saudi Cancer Registry (Eastern Province + national),scrlung2025;scr2020;basudan2023;madinah2024;ksasurv2022;ksaregional2024;ksacrc;alidrissi1987;altamimi1996,Registry incidence/survival; PROPOSED-study microdata (region-year-age-sex-site),registry: aggregate public / microdata gated,Saudi Ministry of Health — Saudi Cancer Registry / Saudi Health Council,ETHICS,"SCR annual reports (public PDFs, aggregate); microdata via MoH ethics + DUA",high,crude-rate ratio 5.7x (ecological),THE key input to the proposed study (Section 5). Aggregate reports are public; case-level microdata require Saudi MoH ethics approval.
saudi_plume,1991 Kuwait oil-fire air quality (Eastern Province),amin1994,"Monitoring-site SO2/PM/CO/H2S/NOx concentrations, 1991",measurements,Original authors (Amin & Husain) / Atmospheric Environment,RESTRICTED,tables within the cited 1994 article,medium,plume exposure documentation,Historical monitoring values reported in the paper; raw station logs likely not archived.
saudi_spatial,Saudi spatial-cluster analysis,alahmadi2013,Region-level cancer counts + spatial weights (Moran's I),aggregate + geospatial,Original authors / IJERPH,OPEN,IJERPH 2013 article + supplement (open access),medium,EP high-high clusters,Aggregate inputs are in the open-access paper.
gats_saudi,Saudi smoking prevalence (GATS 2019),gats2019,Global Adult Tobacco Survey microdata + report,survey microdata,WHO / CDC Global Tobacco Surveillance System (GTSS),APPLICATION,who.int tobacco surveillance + CDC GTSSData (microdata on request); report OPEN,medium,27.5% men / 3.7% women,Country report is public; respondent-level microdata via GTSS data request.
screening_trials,Mammographic-screening overdiagnosis estimates,duffy2005;gotzsche2009;paci2006,Trial/service-screening incidence + lead-time models,aggregate + modeled,Original trial investigators / journals,OPEN,the cited journal articles (estimates + parameters in-text/supplements),medium,~37% lead-time; 4.6% corrected,Used for the breast-cancer exclusion rationale; trial microdata not public.
uranium_miners,Radon / uranium-miner pooled analyses,beir1999;puma2023;whittemore1983,Pooled miner cohorts (radon dose-response),microdata (pooled),PUMA consortium (NCI/IARC); NAS (BEIR VI report),RESTRICTED,PUMA consortium custodians; BEIR VI = DOCUMENT (nap.nationalacademies.org),low,context (currently uncited in text),Pooled cohort data are consortium-held; BEIR VI is a public report.
survival_benchmarks,International survival benchmark (CONCORD-3),concord3,Population-based 5-year survival estimates,aggregate,"CONCORD programme, LSHTM",OPEN,published CONCORD-3 estimates (Lancet 2018 + appendices),medium,survival context,Aggregate survival estimates published; contributing registry microdata restricted.
mutation_etiology,Cancer-etiology fraction debate,tlv2017;wu2016,Modeling inputs (stem-cell divisions; extrinsic-fraction),modeled,Original authors / journals,OPEN,Science 2017 + Nature 2016 supplementary data,medium,not relied upon (contextual),Supplementary datasets accompany both papers.
