year,population,sex,icd_code,site,count,crude,asr,burden_share,crude_asr_ratio
2008,Saudi,female,C65,C65 Renal Pelvis,1.0,0.0,0.0,0.0003,
2008,Saudi,female,C66,C66 Ureter,0.0,0.0,0.0,,
2008,Saudi,female,C67,C67 Bladder,38.0,0.4,0.8,0.0099,0.500
2008,Saudi,female,C68,C68 Other Urinary organs,1.0,0.0,0.0,0.0003,
2008,Saudi,female,C69,C69 Eye,17.0,0.2,0.2,0.0044,1.000
2008,Saudi,female,C70-C72,"C70-C72 Brain, Nervous system",92.0,1.0,1.3,0.0240,0.769
2008,Saudi,female,C73,C73 Thyroid,475.0,5.3,6.8,0.1238,0.779
2008,Saudi,female,C74,C74 Adrenal gland,13.0,0.1,0.1,0.0034,1.000
2008,Saudi,female,C75,C75 Other Endocrine,2.0,0.0,0.0,0.0005,
2008,Saudi,female,C81,C81 Hodgkin disease,131.0,1.5,1.5,0.0342,1.000
2008,Saudi,female,C82-C85;C96,C82-C85;C96 Non-Hodgkin lymphoma,304.0,3.4,5.4,0.0792,0.630
2008,Saudi,female,C88,C88 Immunoproliferative dis.,0.0,0.0,0.0,,
2008,Saudi,female,C90,C90 Multiple Myeloma,25.0,0.3,0.5,0.0065,0.600
2008,Saudi,female,C91,C91 Lymphoid Leukemia,112.0,1.2,1.4,0.0292,0.857
2008,Saudi,female,C92-C94,C92-C94 Myeloid Leukemia,104.0,1.2,1.4,0.0271,0.857
2008,Saudi,female,C95,C95 Leukemia unspecified,31.0,0.3,0.4,0.0081,0.750
2009,Saudi,male,C00,C00 Lip,6.0,0.1,0.1,0.0017,1.000
2009,Saudi,male,C01-C02,C01-C02 Tongue,42.0,0.5,0.8,0.0117,0.625
2009,Saudi,male,C03-C06,C03-C06 Mouth,39.0,0.4,0.8,0.0109,0.500
2009,Saudi,male,C07-C08,C07-C08 Salivary glands,17.0,0.2,0.3,0.0047,0.667
2009,Saudi,male,C09,C09 Tonsil,0.0,0.0,0.0,,
2009,Saudi,male,C10,C10 Other Oropharynx,1.0,0.0,0.0,0.0003,
2009,Saudi,male,C11,C11 Nasopharynx,93.0,1.0,1.5,0.0259,0.667
2009,Saudi,male,C12-C13,C12-C13 Hypopharynx,6.0,0.1,0.1,0.0017,1.000
2009,Saudi,male,C14,C14 Pharynx unspecified,1.0,0.0,0.0,0.0003,
2009,Saudi,male,C15,C15 Oesophagus,67.0,0.7,1.3,0.0187,0.538
2009,Saudi,male,C16,C16 Stomach,201.0,2.2,3.9,0.0560,0.564
2009,Saudi,male,C17,C17 Small intestine,30.0,0.3,0.6,0.0084,0.500
2009,Saudi,male,C18,C18 Colon,341.0,3.7,6.5,0.0950,0.569
2009,Saudi,male,C19-C20,C19-C20 Rectum,276.0,3.0,5.1,0.0769,0.588
2009,Saudi,male,C21,C21 Anus,21.0,0.2,0.4,0.0059,0.500
2009,Saudi,male,C22,C22 Liver,295.0,3.2,5.9,0.0822,0.542
2009,Saudi,male,C23-C24,C23-C24 Gallbladder etc.,56.0,0.6,1.1,0.0156,0.545
2009,Saudi,male,C25,C25 Pancreas,117.0,1.3,2.3,0.0326,0.565
2009,Saudi,male,C30-C31,"C30-C31 Nose, sinuses etc.",5.0,0.1,0.1,0.0014,1.000
2009,Saudi,male,C32,C32 Larynx,55.0,0.6,1.1,0.0153,0.545
2009,Saudi,male,C37-C38,C37-C38 Other Thoracic organs,17.0,0.2,0.3,0.0047,0.667
2009,Saudi,male,C40-C41,C40-C41 Bone,59.0,0.6,0.6,0.0164,1.000
2009,Saudi,male,C43,C43 Melanoma of Skin,13.0,0.1,0.2,0.0036,0.500
2009,Saudi,male,C45,C45 Mesothelioma,5.0,0.1,0.1,0.0014,1.000
2009,Saudi,male,C47;C49,"C47;C49 Connective, Soft tissue",70.0,0.8,0.9,0.0195,0.889
2009,Saudi,male,C50,C50 Breast,23.0,0.2,0.4,0.0064,0.500
2009,Saudi,male,C64,C64 Kidney,174.0,1.9,3.0,0.0485,0.633
